timestamp,suite,program,mode,run_index,status,stderr_note,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,native,9,ok,,2634991,8997270,1861791,7649,2304710,11380,3089,276
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,native,10,ok,,2603521,8969039,1857080,7468,2297791,11327,2963,230
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-aot,1,ok,,18212164,27991003,5007909,51293,6129596,263161,63488,38076
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-aot,2,ok,,18240463,28090195,5023164,56743,6153237,266751,65357,38311
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-aot,3,ok,,17073560,28067710,5021320,55553,6148438,267308,61935,33994
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-aot,4,ok,,17928440,27852950,4982660,54278,6094450,261618,62638,37479
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-aot,5,ok,,17961810,27884037,4988036,53070,6104864,263467,63561,37410
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-aot,6,ok,,16110774,27899832,4989330,56198,6109394,264916,57310,29660
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-aot,7,ok,,16312441,28038369,5016915,55925,6139187,265026,58807,31756
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-aot,8,ok,,16987170,28120103,5029423,57861,6161614,269432,62538,33450
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-aot,9,ok,,17080792,28036816,5015609,56356,6139409,267616,62699,34912
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-aot,10,ok,,18401843,28002521,5009892,55844,6127295,262093,64123,37655
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-jit,1,ok,,20268045,30343591,5367436,61659,6716539,287936,67174,40100
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-jit,2,ok,,20202175,30268197,5356799,60718,6700664,287604,67492,39917
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-jit,3,ok,,20015430,30152239,5334632,63571,6672300,285582,67451,39280
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-jit,4,ok,,20407292,30270077,5354653,62235,6701407,289225,68103,40004
2026-04-15T22:56:16+0800,micro,alloc_fragmented_pattern,wasm-jit,5,ok,,20099114,30274778,5355739,63290,6703048,288624,67535,39023
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-jit,6,ok,,19099174,30354474,5371161,64574,6724486,291966,66575,37445
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-jit,7,ok,,20041567,30410410,5381820,63131,6736264,289294,68433,39207
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-jit,8,ok,,20541769,30295063,5357669,64109,6708344,290244,68341,38613
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-jit,9,ok,,20844353,30358482,5371337,60882,6723370,289085,67949,39734
2026-04-15T22:56:17+0800,micro,alloc_fragmented_pattern,wasm-jit,10,ok,,20008227,30275058,5356304,62890,6702598,289105,67410,38951
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,native,1,ok,,6396036,24150386,3765398,6612,6931178,11796,3390,1542
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,native,2,ok,,6084747,24113158,3759183,6029,6922016,11369,3168,270
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,native,3,ok,,6053027,24114226,3759422,5987,6922366,11121,3101,227
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,native,4,ok,,6367871,24108630,3758117,5453,6920781,10750,2696,346
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,native,5,ok,,6216811,24145656,3764869,5804,6929759,11161,3009,1140
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,native,6,ok,,6105366,24123416,3760692,5988,6924376,10870,2769,249
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,native,7,ok,,6310958,24118217,3759426,6034,6923133,11184,3097,203
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,native,8,ok,,6307434,24110415,3759078,5968,6921459,11036,3017,422
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,native,9,ok,,6219913,24136638,3763538,6031,6927759,11485,3086,254
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,native,10,ok,,6066557,24105345,3757130,5474,6919916,10536,2661,200
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-aot,1,ok,,33645913,94569159,20150766,172501,5811902,264378,63866,37486
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-aot,2,ok,,32601161,94444194,20123579,173192,5783157,262489,63819,37263
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-aot,3,ok,,33166325,94562030,20144985,174445,5811017,264338,64996,37369
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-aot,4,ok,,33815649,94490382,20134652,173416,5790395,260439,63405,37239
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-aot,5,ok,,33698033,94411587,20116004,166693,5774983,259830,61912,38874
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-aot,6,ok,,34465991,94679774,20167075,174951,5838841,265202,65419,38471
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-aot,7,ok,,32601916,94597517,20152005,175636,5823008,267953,62432,35743
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-aot,8,ok,,33879212,94490372,20134391,174635,5792351,264442,64779,37699
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-aot,9,ok,,34059513,94526225,20142408,174238,5801294,262748,63670,36787
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-aot,10,ok,,33910839,94454033,20129089,173028,5785814,262844,63622,37214
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-jit,1,ok,,36117159,96759628,20480531,183745,6369694,290895,68933,38854
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-jit,2,ok,,33842962,96771083,20482053,181829,6369531,288115,61310,31723
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-jit,3,ok,,35772319,96975674,20523922,183938,6418866,290679,69355,39159
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-jit,4,ok,,34814895,96848994,20500375,184220,6385170,291106,68228,37924
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-jit,5,ok,,36508071,97011974,20526924,180024,6425507,291753,70052,40220
2026-04-15T22:56:17+0800,micro,alloc_medium_objects,wasm-jit,6,ok,,34850035,96838881,20497075,182020,6382495,289721,64328,34761
2026-04-15T22:56:18+0800,micro,alloc_medium_objects,wasm-jit,7,ok,,33582256,96820699,20491696,182545,6381692,290040,60949,30220
