timestamp,suite,program,mode,run_index,event,value,status,stderr_note
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,3,L1-dcache-loads,9345188,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,3,L1-dcache-load-misses,16812069,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,3,LLC-loads,3361842,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,3,LLC-load-misses,5989,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,cycles,103615983,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,instructions,270542268,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,branches,28692576,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,branch-misses,63044,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,L1-dcache-loads,12892718,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,L1-dcache-load-misses,17081351,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,LLC-loads,3521675,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,3,LLC-load-misses,35644,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,cycles,104436597,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,instructions,268668328,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,branches,28418904,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,branch-misses,56803,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,L1-dcache-loads,12416010,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,L1-dcache-load-misses,17055980,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,LLC-loads,3599542,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,3,LLC-load-misses,40033,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,cycles,81681496,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,instructions,23981983,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,branches,1800884,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,branch-misses,7415,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,L1-dcache-loads,9355749,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,L1-dcache-load-misses,16811292,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,LLC-loads,3422549,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,4,LLC-load-misses,5535,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,cycles,108029563,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,instructions,270499915,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,branches,28688857,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,branch-misses,63625,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,L1-dcache-loads,12880305,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,L1-dcache-load-misses,17078845,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,LLC-loads,3695713,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,4,LLC-load-misses,45242,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,cycles,104641592,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,instructions,268296266,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,branches,28346495,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,branch-misses,55304,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,L1-dcache-loads,12331523,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,L1-dcache-load-misses,17054247,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,LLC-loads,3702895,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-aot,4,LLC-load-misses,41206,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,cycles,82673027,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,instructions,23818454,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,branches,1771455,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,branch-misses,7828,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,L1-dcache-loads,9315830,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,L1-dcache-load-misses,16810030,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,LLC-loads,3415628,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,native,5,LLC-load-misses,2430,ok,
2026-04-15T22:56:15+0800,micro,alloc_bulk_buffer,wasm-jit,5,cycles,106411526,ok,
