suite,target,feature,spearman_rho,n
micro,delta_branch_miss_rate_jit,br_instr_count,0.14867628785235748,34
micro,delta_branch_miss_rate_jit,avg_bb_out_degree,0.12709169867965747,34
micro,delta_branch_miss_rate_jit,func_count,-0.07984636960487998,34
micro,delta_branch_miss_rate_jit,indirect_call_count,-0.07984636960487998,34
micro,delta_branch_miss_rate_jit,call_bb_ratio,-0.045416591475344555,34
micro,delta_branch_miss_rate_jit,max_loop_depth,0.027744510968955444,34
micro,delta_branch_miss_rate_jit,total_instr_count,0.0033639153561930836,34
micro,delta_ipc_aot,syscall_count,-0.34093374282375777,34
micro,delta_ipc_aot,call_instr_count,-0.27077848817621053,34
micro,delta_ipc_aot,func_count,0.2572827465046133,34
micro,delta_ipc_aot,indirect_call_count,0.2572827465046133,34
micro,delta_ipc_aot,io_call_count,-0.25055557818669544,34
micro,delta_ipc_aot,compute_density,0.2356356995727308,34
micro,delta_ipc_aot,call_density,-0.1897921782550789,34
micro,delta_ipc_aot,avg_bb_size,0.17024528605022526,34
micro,delta_ipc_aot,syscall_density,-0.1409247332536737,34
micro,delta_ipc_aot,io_density,-0.13210002362159487,34
micro,delta_ipc_aot,compute_instr_count,0.12000632520852293,34
micro,delta_ipc_aot,br_density,-0.11479671032779243,34
micro,delta_ipc_aot,max_loop_depth,0.11153293409520088,34
micro,delta_ipc_aot,basic_block_count,-0.10561606051557616,34
micro,delta_ipc_aot,ls_ratio,0.09291663726978185,34
micro,delta_ipc_aot,br_instr_count,-0.06485983474275657,34
micro,delta_ipc_aot,compute_mem_ratio,0.06252389490835084,34
micro,delta_ipc_aot,call_bb_ratio,0.04418911603006496,34
micro,delta_ipc_aot,total_instr_count,-0.036697258431197276,34
micro,delta_ipc_aot,mem_instr_count,-0.02521144166909212,34
micro,delta_ipc_aot,avg_bb_out_degree,0.018180004579341734,34
micro,delta_ipc_jit,syscall_count,-0.34093374282375777,34
micro,delta_ipc_jit,call_instr_count,-0.28556237115134847,34
micro,delta_ipc_jit,func_count,0.2572827465046133,34
micro,delta_ipc_jit,indirect_call_count,0.2572827465046133,34
micro,delta_ipc_jit,io_call_count,-0.25055557818669544,34
micro,delta_ipc_jit,compute_density,0.24067848691767246,34
micro,delta_ipc_jit,call_density,-0.18780562566464729,34
micro,delta_ipc_jit,avg_bb_size,0.16520211330367462,34
micro,delta_ipc_jit,syscall_density,-0.13465801518057108,34
micro,delta_ipc_jit,io_density,-0.1258313882414034,34
micro,delta_ipc_jit,compute_instr_count,0.1148019692683574,34
micro,delta_ipc_jit,br_density,-0.10745950380883898,34
micro,delta_ipc_jit,basic_block_count,-0.10308633451520309,34
micro,delta_ipc_jit,max_loop_depth,0.09340652026214998,34
micro,delta_ipc_jit,ls_ratio,0.07839841269637843,34
micro,delta_ipc_jit,compute_mem_ratio,0.0724604552238589,34
micro,delta_ipc_jit,br_instr_count,-0.06219650819534871,34
micro,delta_ipc_jit,total_instr_count,-0.04373089963051008,34
micro,delta_ipc_jit,mem_instr_count,-0.03884781892407276,34
micro,delta_ipc_jit,call_bb_ratio,0.038205173234327004,34
micro,delta_ipc_jit,avg_bb_out_degree,0.007743335283793701,34
micro,delta_l1_load_miss_rate_aot,max_loop_depth,-0.43225948089632577,34
micro,delta_l1_load_miss_rate_aot,io_density,0.3048697304415048,34
