timestamp,program,mode,run_index,event,value,status,stderr_note,runtime_engine,compiler
2026-06-03T13:21:26+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r00c4,1031498841,ok,,wasmer,cranelift
2026-06-03T13:21:26+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r01c4,7030029,ok,,wasmer,cranelift
2026-06-03T13:21:26+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r1c0,7773388431,ok,,wasmer,cranelift
2026-06-03T13:21:26+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,cpu-cycles,4015589534,ok,,wasmer,cranelift
2026-06-03T13:21:26+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,L1-icache-load-misses,1097047,ok,,wasmer,cranelift
2026-06-03T13:21:26+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,branch-misses,140602,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,r81d0,18106172494,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,r82d0,3003904747,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,r00c4,1954239469,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,r01c4,50765184,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,r1c0,28974668812,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,cpu-cycles,11940915994,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,L1-icache-load-misses,523519,ok,,wasmer,cranelift
2026-06-03T13:21:36+0800,llvmss_misc_matmul_f64_4x4,native,1,branch-misses,26740,ok,,wasmer,cranelift
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,r81d0,13014105498,ok,,wasmer,cranelift
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,r82d0,3358844861,ok,,wasmer,cranelift
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,r00c4,1960456980,ok,,wasmer,cranelift
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,r01c4,52268978,ok,,wasmer,cranelift
2026-06-03T13:21:39+0800,llvmss_misc_matmul_f64_4x4,wasm-aot,1,r1c0,30357125401,ok,,wasmer,cranelift
