program,class,relative_path,runnable_now,needs_build_tweak,needs_source_patch,exclude_platform_specific,native_ok,wasm_ok,native_error,wasm_error,run_args_template,input_profile,notes
llvmss_misc_revertbits,direct-run,Misc/revertBits.c,0,1,0,0,0,0,"data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:55:8: warning: GCC does not allow variable declarations in for loop initializers before C99 [-Wgcc-compat]
   55 |   for (int i = 0; i < NUM; ++i) {
      |        ^
data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:59:8: warning: GCC does not allow variable declarations in for loop initializers before C99 [-Wgcc-compat]
   59 |   for (int i = 0; i < NUM; ++i) {
      |        ^
data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:59:12: error: redefinition of 'i'
   59 |   for (int i = 0; i < NUM; ++i) {
      |            ^
data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:55:12: note: previous definition is here
   55 |   for (int i = 0; i < NUM; ++i) {
      |            ^
data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:64:39: warning: format specifies type 'unsigned long long' but the argument has type 'unsigned long' [-Wformat]
   64 |   printf(""0x%llx -> 0x%llx\n"", rev64, __builtin_bitreverse64(rev64));
      |                       ~~~~            ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      |                       %lx
3 warnings and 1 error generated.","data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:55:8: warning: GCC does not allow variable declarations in for loop initializers before C99 [-Wgcc-compat]
   55 |   for (int i = 0; i < NUM; ++i) {
      |        ^
data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:59:8: warning: GCC does not allow variable declarations in for loop initializers before C99 [-Wgcc-compat]
   59 |   for (int i = 0; i < NUM; ++i) {
      |        ^
data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:59:12: error: redefinition of 'i'
   59 |   for (int i = 0; i < NUM; ++i) {
      |            ^
data/llvm-test-suite/SingleSource/Benchmarks/Misc/revertBits.c:55:12: note: previous definition is here
   55 |   for (int i = 0; i < NUM; ++i) {
      |            ^
2 warnings and 1 error generated.",,none,
llvmss_misc_richards_benchmark,direct-run,Misc/richards_benchmark.c,1,0,0,0,1,1,,,,none,
llvmss_misc_salsa20,direct-run,Misc/salsa20.c,1,0,0,0,1,1,,,,none,
llvmss_shootout_hello,direct-run,Shootout/hello.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_bubblesort,direct-run,Stanford/Bubblesort.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_floatmm,direct-run,Stanford/FloatMM.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_intmm,direct-run,Stanford/IntMM.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_oscar,direct-run,Stanford/Oscar.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_perm,direct-run,Stanford/Perm.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_puzzle,direct-run,Stanford/Puzzle.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_queens,direct-run,Stanford/Queens.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_quicksort,direct-run,Stanford/Quicksort.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_realmm,direct-run,Stanford/RealMM.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_towers,direct-run,Stanford/Towers.c,1,0,0,0,1,1,,,,none,
llvmss_stanford_treesort,direct-run,Stanford/Treesort.c,1,0,0,0,1,1,,,,none,
