program,mode,runtime,run_index,internal_ms,external_ms,ok,error
llvmss_misc_flops-1,jit,wasm-jit,2,729.555316,734.949075,1,
llvmss_misc_flops-1,jit,native,3,586.484382,587.236792,1,
llvmss_misc_flops-1,jit,wasm-jit,3,729.557356,735.053787,1,
llvmss_misc_flops-1,jit,native,4,632.250982,633.005273,1,
llvmss_misc_flops-1,jit,wasm-jit,4,729.466681,734.902261,1,
llvmss_misc_flops-1,jit,native,5,632.630338,633.426981,1,
llvmss_misc_flops-1,jit,wasm-jit,5,741.463918,746.733412,1,
llvmss_misc_flops-1,jit,native,6,632.51021,633.158399,1,
llvmss_misc_flops-1,jit,wasm-jit,6,729.53655,735.057808,1,
llvmss_misc_flops-1,jit,native,7,586.566352,587.317873,1,
llvmss_misc_flops-1,jit,wasm-jit,7,729.503586,735.091319,1,
llvmss_misc_flops-1,jit,native,8,632.684563,633.427143,1,
llvmss_misc_flops-1,jit,wasm-jit,8,729.437965,735.098112,1,
llvmss_misc_flops-1,jit,native,9,632.320451,633.149078,1,
llvmss_misc_flops-1,jit,wasm-jit,9,741.390678,747.154893,1,
llvmss_misc_flops-1,jit,native,10,632.63621,633.383004,1,
llvmss_misc_flops-1,jit,wasm-jit,10,729.593677,735.099915,1,
llvmss_misc_flops-1,aot,native,1,632.50232,633.312341,1,
llvmss_misc_flops-1,aot,wasm-aot,1,729.622749,734.743202,1,
llvmss_misc_flops-1,aot,native,2,632.604363,633.436788,1,
llvmss_misc_flops-1,aot,wasm-aot,2,729.512165,734.865423,1,
llvmss_misc_flops-1,aot,native,3,586.487752,587.289048,1,
llvmss_misc_flops-1,aot,wasm-aot,3,741.322227,746.572632,1,
llvmss_misc_flops-1,aot,native,4,632.372975,633.180762,1,
llvmss_misc_flops-1,aot,wasm-aot,4,729.458908,734.855367,1,
llvmss_misc_flops-1,aot,native,5,586.484447,587.283965,1,
llvmss_misc_flops-1,aot,wasm-aot,5,729.528419,734.538192,1,
llvmss_misc_flops-1,aot,native,6,632.072926,632.779097,1,
llvmss_misc_flops-1,aot,wasm-aot,6,729.467384,734.534724,1,
llvmss_misc_flops-1,aot,native,7,586.465865,587.091327,1,
llvmss_misc_flops-1,aot,wasm-aot,7,729.459907,734.5207,1,
llvmss_misc_flops-1,aot,native,8,586.425173,587.11455,1,
llvmss_misc_flops-1,aot,wasm-aot,8,729.571861,734.689003,1,
llvmss_misc_flops-1,aot,native,9,586.562064,587.355532,1,
llvmss_misc_flops-1,aot,wasm-aot,9,729.565281,734.827049,1,
llvmss_misc_flops-1,aot,native,10,586.461355,587.169522,1,
llvmss_misc_flops-1,aot,wasm-aot,10,729.546276,734.87509,1,
llvmss_misc_flops-2,jit,native,1,417.942359,418.751504,1,
llvmss_misc_flops-2,jit,wasm-jit,1,406.90799,412.317159,1,
llvmss_misc_flops-2,jit,native,2,399.696564,400.397897,1,
llvmss_misc_flops-2,jit,wasm-jit,2,406.855575,412.263079,1,
llvmss_misc_flops-2,jit,native,3,399.693593,400.487337,1,
llvmss_misc_flops-2,jit,wasm-jit,3,407.078722,412.68529,1,
llvmss_misc_flops-2,jit,native,4,418.090238,418.92869,1,
