program,runtime,run_index,internal_ms,parsed_ok,ok,error
3mm,wasm-jit,26,1316.56,1,1,
3mm,wasm-jit,27,1304.486,1,1,
3mm,wasm-jit,28,1313.615,1,1,
3mm,wasm-jit,29,1313.3509999999999,1,1,
3mm,wasm-jit,30,1352.134,1,1,
3mm,wasm-aot,1,1322.608,1,1,
3mm,wasm-aot,2,1420.639,1,1,
3mm,wasm-aot,3,1350.586,1,1,
3mm,wasm-aot,4,1352.5910000000001,1,1,
3mm,wasm-aot,5,1331.0310000000002,1,1,
3mm,wasm-aot,6,1335.785,1,1,
3mm,wasm-aot,7,1330.029,1,1,
3mm,wasm-aot,8,1337.848,1,1,
3mm,wasm-aot,9,1325.259,1,1,
3mm,wasm-aot,10,1303.1209999999999,1,1,
3mm,wasm-aot,11,1325.2,1,1,
3mm,wasm-aot,12,1354.742,1,1,
3mm,wasm-aot,13,1347.1779999999999,1,1,
3mm,wasm-aot,14,1340.5549999999998,1,1,
3mm,wasm-aot,15,1323.593,1,1,
3mm,wasm-aot,16,1321.5520000000001,1,1,
3mm,wasm-aot,17,1325.605,1,1,
3mm,wasm-aot,18,1342.693,1,1,
3mm,wasm-aot,19,1326.054,1,1,
3mm,wasm-aot,20,1337.512,1,1,
3mm,wasm-aot,21,1343.8600000000001,1,1,
3mm,wasm-aot,22,1368.9370000000001,1,1,
3mm,wasm-aot,23,1359.9209999999998,1,1,
3mm,wasm-aot,24,1359.077,1,1,
3mm,wasm-aot,25,1350.265,1,1,
3mm,wasm-aot,26,1350.058,1,1,
3mm,wasm-aot,27,1376.232,1,1,
3mm,wasm-aot,28,1426.4889999999998,1,1,
3mm,wasm-aot,29,1435.288,1,1,
3mm,wasm-aot,30,1436.559,1,1,
adi,native,1,6018.349999999999,1,1,
adi,native,2,6702.83,1,1,
adi,native,3,5846.842,1,1,
adi,native,4,5771.381,1,1,
adi,native,5,5870.039000000001,1,1,
adi,native,6,5980.706999999999,1,1,
adi,native,7,7189.2339999999995,1,1,
adi,native,8,6082.1990000000005,1,1,
adi,native,9,5792.861,1,1,
adi,native,10,5890.514999999999,1,1,
adi,native,11,6038.691,1,1,
adi,native,12,6678.215,1,1,
adi,native,13,5954.957,1,1,
adi,native,14,5962.628,1,1,
adi,native,15,6036.684,1,1,
adi,native,16,5901.231,1,1,
adi,native,17,7136.744000000001,1,1,
adi,native,18,6002.461,1,1,
adi,native,19,5966.958,1,1,
adi,native,20,5880.423000000001,1,1,
adi,native,21,6140.956,1,1,
adi,native,22,6698.165,1,1,
adi,native,23,5880.782,1,1,
adi,native,24,6006.929999999999,1,1,
adi,native,25,6163.513,1,1,
adi,native,26,6045.71,1,1,
adi,native,27,6745.752,1,1,
adi,native,28,5958.567,1,1,
adi,native,29,6100.079,1,1,
adi,native,30,6244.703,1,1,
adi,wasm-jit,1,6306.045,1,1,
adi,wasm-jit,2,6297.125,1,1,
adi,wasm-jit,3,6408.496,1,1,
adi,wasm-jit,4,6301.021000000001,1,1,
adi,wasm-jit,5,6215.417,1,1,
adi,wasm-jit,6,6257.645,1,1,
adi,wasm-jit,7,6400.237,1,1,
adi,wasm-jit,8,6322.835999999999,1,1,
adi,wasm-jit,9,6312.764999999999,1,1,
adi,wasm-jit,10,6285.728,1,1,
adi,wasm-jit,11,6349.278,1,1,
adi,wasm-jit,12,6336.664,1,1,
adi,wasm-jit,13,6285.534000000001,1,1,
adi,wasm-jit,14,6257.499,1,1,
adi,wasm-jit,15,6313.563,1,1,
adi,wasm-jit,16,6355.026,1,1,
adi,wasm-jit,17,6328.911,1,1,
adi,wasm-jit,18,6239.103,1,1,
adi,wasm-jit,19,6163.074,1,1,
adi,wasm-jit,20,6309.889,1,1,
adi,wasm-jit,21,6296.687999999999,1,1,
adi,wasm-jit,22,6166.381,1,1,
adi,wasm-jit,23,6234.295,1,1,
adi,wasm-jit,24,6198.0,1,1,
adi,wasm-jit,25,6310.5960000000005,1,1,
adi,wasm-jit,26,6284.722000000001,1,1,
adi,wasm-jit,27,6189.512,1,1,
adi,wasm-jit,28,6253.005,1,1,
adi,wasm-jit,29,6341.012,1,1,
adi,wasm-jit,30,6367.8369999999995,1,1,
adi,wasm-aot,1,6326.924,1,1,
adi,wasm-aot,2,6340.875,1,1,
adi,wasm-aot,3,6305.303,1,1,
adi,wasm-aot,4,6218.4619999999995,1,1,
adi,wasm-aot,5,6209.611,1,1,
adi,wasm-aot,6,6272.1669999999995,1,1,
adi,wasm-aot,7,6244.674,1,1,
adi,wasm-aot,8,6131.803,1,1,
adi,wasm-aot,9,6162.067999999999,1,1,
adi,wasm-aot,10,6314.804999999999,1,1,
adi,wasm-aot,11,6281.377,1,1,
adi,wasm-aot,12,6372.4259999999995,1,1,
adi,wasm-aot,13,6358.957,1,1,
adi,wasm-aot,14,6317.598,1,1,
adi,wasm-aot,15,6358.102,1,1,
adi,wasm-aot,16,6405.98,1,1,
adi,wasm-aot,17,6325.754,1,1,
adi,wasm-aot,18,6247.45,1,1,
adi,wasm-aot,19,6231.672,1,1,
adi,wasm-aot,20,6357.535000000001,1,1,
adi,wasm-aot,21,6316.875999999999,1,1,
adi,wasm-aot,22,6300.089,1,1,
adi,wasm-aot,23,6314.454,1,1,
adi,wasm-aot,24,6364.7210000000005,1,1,
adi,wasm-aot,25,6398.681,1,1,
adi,wasm-aot,26,6274.855,1,1,
adi,wasm-aot,27,6272.498,1,1,
adi,wasm-aot,28,6344.755,1,1,
adi,wasm-aot,29,6445.454,1,1,
adi,wasm-aot,30,6420.212,1,1,
atax,native,1,2.542,1,1,
atax,native,2,2.676,1,1,
atax,native,3,2.685,1,1,
atax,native,4,2.555,1,1,
atax,native,5,2.664,1,1,
atax,native,6,2.606,1,1,
atax,native,7,2.575,1,1,
atax,native,8,2.605,1,1,
atax,native,9,2.585,1,1,
atax,native,10,2.6809999999999996,1,1,
atax,native,11,3.068,1,1,
atax,native,12,2.678,1,1,
atax,native,13,2.662,1,1,
atax,native,14,2.7,1,1,
atax,native,15,2.64,1,1,
atax,native,16,2.9979999999999998,1,1,
atax,native,17,2.656,1,1,
atax,native,18,2.7030000000000003,1,1,
atax,native,19,2.624,1,1,
atax,native,20,3.028,1,1,
atax,native,21,2.621,1,1,
atax,native,22,2.794,1,1,
atax,native,23,3.287,1,1,
atax,native,24,2.678,1,1,
atax,native,25,2.6510000000000002,1,1,
atax,native,26,2.798,1,1,
atax,native,27,3.2390000000000003,1,1,
atax,native,28,2.819,1,1,
atax,native,29,2.6510000000000002,1,1,
atax,native,30,2.711,1,1,
atax,wasm-jit,1,3.494,1,1,
atax,wasm-jit,2,3.503,1,1,
atax,wasm-jit,3,3.733,1,1,
atax,wasm-jit,4,3.9979999999999998,1,1,
atax,wasm-jit,5,3.794,1,1,
atax,wasm-jit,6,3.77,1,1,
atax,wasm-jit,7,3.581,1,1,
atax,wasm-jit,8,3.933,1,1,
atax,wasm-jit,9,3.6470000000000002,1,1,
atax,wasm-jit,10,3.763,1,1,
atax,wasm-jit,11,3.664,1,1,
atax,wasm-jit,12,3.7100000000000004,1,1,
atax,wasm-jit,13,3.6229999999999998,1,1,
atax,wasm-jit,14,3.5100000000000002,1,1,
atax,wasm-jit,15,3.855,1,1,
atax,wasm-jit,16,4.324,1,1,
atax,wasm-jit,17,4.047000000000001,1,1,
atax,wasm-jit,18,4.032,1,1,
atax,wasm-jit,19,3.906,1,1,
atax,wasm-jit,20,3.601,1,1,
atax,wasm-jit,21,3.686,1,1,
atax,wasm-jit,22,3.758,1,1,
atax,wasm-jit,23,3.747,1,1,
atax,wasm-jit,24,3.8800000000000003,1,1,
atax,wasm-jit,25,4.146999999999999,1,1,
atax,wasm-jit,26,3.7230000000000003,1,1,
atax,wasm-jit,27,3.658,1,1,
atax,wasm-jit,28,3.848,1,1,
atax,wasm-jit,29,4.086,1,1,
atax,wasm-jit,30,3.554,1,1,
atax,wasm-aot,1,3.499,1,1,
atax,wasm-aot,2,3.4810000000000003,1,1,
atax,wasm-aot,3,3.46,1,1,
atax,wasm-aot,4,3.59,1,1,
atax,wasm-aot,5,3.4979999999999998,1,1,
atax,wasm-aot,6,3.57,1,1,
atax,wasm-aot,7,3.675,1,1,
atax,wasm-aot,8,3.604,1,1,
atax,wasm-aot,9,3.477,1,1,
atax,wasm-aot,10,3.967,1,1,
atax,wasm-aot,11,3.592,1,1,
atax,wasm-aot,12,3.69,1,1,
atax,wasm-aot,13,3.573,1,1,
atax,wasm-aot,14,3.697,1,1,
atax,wasm-aot,15,3.6670000000000003,1,1,
atax,wasm-aot,16,3.571,1,1,
atax,wasm-aot,17,3.7079999999999997,1,1,
atax,wasm-aot,18,3.5149999999999997,1,1,
atax,wasm-aot,19,3.666,1,1,
atax,wasm-aot,20,3.7279999999999998,1,1,
atax,wasm-aot,21,3.4979999999999998,1,1,
atax,wasm-aot,22,4.0569999999999995,1,1,
atax,wasm-aot,23,3.509,1,1,
atax,wasm-aot,24,3.494,1,1,
atax,wasm-aot,25,3.732,1,1,
atax,wasm-aot,26,3.549,1,1,
atax,wasm-aot,27,3.65,1,1,
atax,wasm-aot,28,3.624,1,1,
atax,wasm-aot,29,3.527,1,1,
atax,wasm-aot,30,3.7529999999999997,1,1,
bicg,native,1,6.446999999999999,1,1,
bicg,native,2,6.492999999999999,1,1,
bicg,native,3,6.364,1,1,
bicg,native,4,6.464,1,1,
bicg,native,5,6.3660000000000005,1,1,
bicg,native,6,6.373,1,1,
bicg,native,7,6.409,1,1,
bicg,native,8,6.657,1,1,
bicg,native,9,6.428,1,1,
bicg,native,10,6.3870000000000005,1,1,
bicg,native,11,6.436,1,1,
bicg,native,12,9.921,1,1,
bicg,native,13,6.425,1,1,
bicg,native,14,6.615,1,1,
bicg,native,15,6.475,1,1,
bicg,native,16,6.551,1,1,
bicg,native,17,6.449,1,1,
bicg,native,18,6.409,1,1,
bicg,native,19,6.409,1,1,
bicg,native,20,9.811,1,1,
bicg,native,21,6.446999999999999,1,1,
bicg,native,22,6.551,1,1,
bicg,native,23,6.396,1,1,
bicg,native,24,6.386,1,1,
bicg,native,25,6.452,1,1,
bicg,native,26,6.423,1,1,
bicg,native,27,6.483,1,1,
bicg,native,28,6.485,1,1,
bicg,native,29,6.57,1,1,
bicg,native,30,6.476,1,1,
bicg,wasm-jit,1,6.5440000000000005,1,1,
bicg,wasm-jit,2,6.502,1,1,
bicg,wasm-jit,3,6.581,1,1,
bicg,wasm-jit,4,6.551,1,1,
bicg,wasm-jit,5,6.696,1,1,
bicg,wasm-jit,6,6.407,1,1,
bicg,wasm-jit,7,6.484,1,1,
bicg,wasm-jit,8,6.673,1,1,
bicg,wasm-jit,9,6.678,1,1,
bicg,wasm-jit,10,6.322,1,1,
bicg,wasm-jit,11,6.594,1,1,
bicg,wasm-jit,12,6.439,1,1,
bicg,wasm-jit,13,6.439,1,1,
bicg,wasm-jit,14,6.472,1,1,
bicg,wasm-jit,15,6.425,1,1,
bicg,wasm-jit,16,6.453,1,1,
bicg,wasm-jit,17,6.398,1,1,
bicg,wasm-jit,18,6.6290000000000004,1,1,
bicg,wasm-jit,19,6.473,1,1,
bicg,wasm-jit,20,6.484,1,1,
bicg,wasm-jit,21,6.6819999999999995,1,1,
bicg,wasm-jit,22,6.388999999999999,1,1,
bicg,wasm-jit,23,6.5729999999999995,1,1,
bicg,wasm-jit,24,6.541,1,1,
bicg,wasm-jit,25,6.556,1,1,
bicg,wasm-jit,26,6.615,1,1,
bicg,wasm-jit,27,6.4159999999999995,1,1,
bicg,wasm-jit,28,6.373,1,1,
bicg,wasm-jit,29,6.550000000000001,1,1,
bicg,wasm-jit,30,6.598,1,1,
bicg,wasm-aot,1,6.486,1,1,
bicg,wasm-aot,2,6.464,1,1,
bicg,wasm-aot,3,6.465,1,1,
bicg,wasm-aot,4,6.433999999999999,1,1,
bicg,wasm-aot,5,6.494,1,1,
bicg,wasm-aot,6,9.269,1,1,
bicg,wasm-aot,7,6.398,1,1,
bicg,wasm-aot,8,6.386,1,1,
bicg,wasm-aot,9,6.375,1,1,
bicg,wasm-aot,10,6.473,1,1,
bicg,wasm-aot,11,6.465,1,1,
bicg,wasm-aot,12,6.361000000000001,1,1,
bicg,wasm-aot,13,6.381,1,1,
bicg,wasm-aot,14,6.575,1,1,
bicg,wasm-aot,15,6.603000000000001,1,1,
bicg,wasm-aot,16,6.822,1,1,
bicg,wasm-aot,17,6.413,1,1,
bicg,wasm-aot,18,6.499,1,1,
