program,native_ok,wasm_ok,native_mean_ms,native_median_ms,native_std_ms,native_min_ms,native_max_ms,wasm_mean_ms,wasm_median_ms,wasm_std_ms,wasm_min_ms,wasm_max_ms,ratio_wasm_over_native,label,native_error,wasm_error
poly_2mm,1,1,23.566582,22.721882,3.047406,20.398464,36.700368,32.823147,31.783747,5.546344,26.093484,51.052044,1.398817,native-better,,
poly_atax,1,1,5.750015,5.353679,1.256984,4.354757,9.061056,12.577939,12.278499,1.542151,9.940093,16.755975,2.293469,native-better,,
poly_floyd_warshall,1,1,70.444896,68.836031,4.739525,63.683043,82.046381,116.375315,110.561655,18.719793,104.323014,202.570481,1.60616,native-better,,
poly_gemm,1,1,9.042336,9.08485,1.227471,6.94152,12.157587,21.709034,21.529497,1.584145,18.317679,25.141286,2.369824,native-better,,
poly_gemver,1,1,5.585189,5.571615,0.624766,4.453962,6.592864,11.786077,11.901112,0.95773,10.395782,13.705259,2.136026,native-better,,
poly_gesummv,1,1,5.383996,4.604606,2.313993,4.008609,16.762096,11.427024,11.602153,1.218481,9.531434,14.062806,2.519684,native-better,,
poly_jacobi_1d,1,1,4.602233,3.858106,1.922338,3.208222,11.639782,15.442241,11.772401,17.896163,10.227193,109.445524,3.051342,native-better,,
poly_jacobi_2d,1,1,14.995006,14.521891,1.735769,13.006784,19.365156,33.369159,32.453698,3.323607,29.144941,40.090003,2.234812,native-better,,
