program,runtime,run_index,internal_ms,ok,error
alloc_fragmented_pattern,wasm-aot,4,0.430662,1,
alloc_fragmented_pattern,native,5,0.258889,1,
alloc_fragmented_pattern,wasm-jit,5,0.433389,1,
alloc_fragmented_pattern,wasm-aot,5,0.4675,1,
alloc_fragmented_pattern,native,6,0.259318,1,
alloc_fragmented_pattern,wasm-jit,6,0.443058,1,
alloc_fragmented_pattern,wasm-aot,6,0.429563,1,
alloc_fragmented_pattern,native,7,0.27038,1,
alloc_fragmented_pattern,wasm-jit,7,0.437653,1,
alloc_fragmented_pattern,wasm-aot,7,0.451584,1,
alloc_fragmented_pattern,native,8,0.389142,1,
alloc_fragmented_pattern,wasm-jit,8,0.456465,1,
alloc_fragmented_pattern,wasm-aot,8,0.456554,1,
alloc_fragmented_pattern,native,9,0.276368,1,
alloc_fragmented_pattern,wasm-jit,9,0.431751,1,
alloc_fragmented_pattern,wasm-aot,9,0.415675,1,
alloc_fragmented_pattern,native,10,0.260306,1,
alloc_fragmented_pattern,wasm-jit,10,0.444208,1,
alloc_fragmented_pattern,wasm-aot,10,0.441354,1,
alloc_fragmented_pattern,native,11,0.258195,1,
alloc_fragmented_pattern,wasm-jit,11,0.459826,1,
alloc_fragmented_pattern,wasm-aot,11,0.432254,1,
alloc_fragmented_pattern,native,12,0.262716,1,
alloc_fragmented_pattern,wasm-jit,12,0.430708,1,
alloc_fragmented_pattern,wasm-aot,12,0.426954,1,
alloc_fragmented_pattern,native,13,0.2819,1,
alloc_fragmented_pattern,wasm-jit,13,0.445032,1,
alloc_fragmented_pattern,wasm-aot,13,0.449704,1,
alloc_fragmented_pattern,native,14,0.274879,1,
alloc_fragmented_pattern,wasm-jit,14,0.552914,1,
alloc_fragmented_pattern,wasm-aot,14,0.439038,1,
alloc_fragmented_pattern,native,15,0.258173,1,
alloc_fragmented_pattern,wasm-jit,15,0.532366,1,
alloc_fragmented_pattern,wasm-aot,15,0.446596,1,
alloc_fragmented_pattern,native,16,0.320506,1,
alloc_fragmented_pattern,wasm-jit,16,0.440157,1,
alloc_fragmented_pattern,wasm-aot,16,0.428579,1,
alloc_fragmented_pattern,native,17,0.258376,1,
alloc_fragmented_pattern,wasm-jit,17,0.451618,1,
alloc_fragmented_pattern,wasm-aot,17,0.431289,1,
alloc_fragmented_pattern,native,18,0.320623,1,
alloc_fragmented_pattern,wasm-jit,18,0.424721,1,
alloc_fragmented_pattern,wasm-aot,18,0.444974,1,
alloc_fragmented_pattern,native,19,0.380562,1,
alloc_fragmented_pattern,wasm-jit,19,0.460477,1,
alloc_fragmented_pattern,wasm-aot,19,0.451928,1,
alloc_fragmented_pattern,native,20,0.275923,1,
alloc_fragmented_pattern,wasm-jit,20,0.427718,1,
alloc_fragmented_pattern,wasm-aot,20,0.422467,1,
alloc_fragmented_pattern,native,21,0.275665,1,
alloc_fragmented_pattern,wasm-jit,21,0.45851,1,
alloc_fragmented_pattern,wasm-aot,21,0.412186,1,
alloc_fragmented_pattern,native,22,0.264409,1,
alloc_fragmented_pattern,wasm-jit,22,0.461028,1,
alloc_fragmented_pattern,wasm-aot,22,0.432953,1,
alloc_fragmented_pattern,native,23,0.2658,1,
alloc_fragmented_pattern,wasm-jit,23,0.446351,1,
alloc_fragmented_pattern,wasm-aot,23,0.443473,1,
alloc_fragmented_pattern,native,24,0.274535,1,
alloc_fragmented_pattern,wasm-jit,24,0.715301,1,
alloc_fragmented_pattern,wasm-aot,24,0.419167,1,
alloc_fragmented_pattern,native,25,0.322678,1,
alloc_fragmented_pattern,wasm-jit,25,0.437257,1,
alloc_fragmented_pattern,wasm-aot,25,0.428376,1,
alloc_fragmented_pattern,native,26,0.259852,1,
alloc_fragmented_pattern,wasm-jit,26,0.46594,1,
alloc_fragmented_pattern,wasm-aot,26,0.465617,1,
alloc_fragmented_pattern,native,27,0.257943,1,
alloc_fragmented_pattern,wasm-jit,27,0.426346,1,
alloc_fragmented_pattern,wasm-aot,27,0.448374,1,
alloc_fragmented_pattern,native,28,0.258404,1,
alloc_fragmented_pattern,wasm-jit,28,0.43717,1,
alloc_fragmented_pattern,wasm-aot,28,0.46286,1,
alloc_fragmented_pattern,native,29,0.303333,1,
alloc_fragmented_pattern,wasm-jit,29,0.451187,1,
alloc_fragmented_pattern,wasm-aot,29,0.465685,1,
alloc_fragmented_pattern,native,30,0.274842,1,
alloc_fragmented_pattern,wasm-jit,30,0.433745,1,
alloc_fragmented_pattern,wasm-aot,30,0.413022,1,
alloc_medium_objects,native,1,0.769386,1,
alloc_medium_objects,wasm-jit,1,2.070376,1,
alloc_medium_objects,wasm-aot,1,2.061175,1,
alloc_medium_objects,native,2,0.761463,1,
alloc_medium_objects,wasm-jit,2,1.812418,1,
alloc_medium_objects,wasm-aot,2,1.76001,1,
alloc_medium_objects,native,3,0.727463,1,
alloc_medium_objects,wasm-jit,3,1.752494,1,
alloc_medium_objects,wasm-aot,3,1.758279,1,
alloc_medium_objects,native,4,0.728125,1,
alloc_medium_objects,wasm-jit,4,1.722517,1,
alloc_medium_objects,wasm-aot,4,1.722036,1,
alloc_medium_objects,native,5,0.749297,1,
alloc_medium_objects,wasm-jit,5,1.813546,1,
alloc_medium_objects,wasm-aot,5,1.905502,1,
alloc_medium_objects,native,6,0.739566,1,
alloc_medium_objects,wasm-jit,6,1.889861,1,
alloc_medium_objects,wasm-aot,6,1.834317,1,
alloc_medium_objects,native,7,0.78425,1,
alloc_medium_objects,wasm-jit,7,1.885153,1,
alloc_medium_objects,wasm-aot,7,1.775673,1,
alloc_medium_objects,native,8,1.560857,1,
alloc_medium_objects,wasm-jit,8,1.836194,1,
alloc_medium_objects,wasm-aot,8,1.79915,1,
alloc_medium_objects,native,9,0.837164,1,
alloc_medium_objects,wasm-jit,9,1.818937,1,
alloc_medium_objects,wasm-aot,9,1.722003,1,
alloc_medium_objects,native,10,0.711217,1,
alloc_medium_objects,wasm-jit,10,1.721224,1,
alloc_medium_objects,wasm-aot,10,1.727217,1,
alloc_medium_objects,native,11,0.698969,1,
alloc_medium_objects,wasm-jit,11,1.762746,1,
alloc_medium_objects,wasm-aot,11,1.89982,1,
alloc_medium_objects,native,12,0.719901,1,
alloc_medium_objects,wasm-jit,12,1.801981,1,
alloc_medium_objects,wasm-aot,12,1.852351,1,
alloc_medium_objects,native,13,0.751004,1,
alloc_medium_objects,wasm-jit,13,1.756437,1,
alloc_medium_objects,wasm-aot,13,1.917403,1,
alloc_medium_objects,native,14,0.78293,1,
alloc_medium_objects,wasm-jit,14,1.875632,1,
alloc_medium_objects,wasm-aot,14,1.808226,1,
alloc_medium_objects,native,15,0.731118,1,
alloc_medium_objects,wasm-jit,15,1.740795,1,
alloc_medium_objects,wasm-aot,15,1.747676,1,
alloc_medium_objects,native,16,0.732794,1,
alloc_medium_objects,wasm-jit,16,1.838821,1,
alloc_medium_objects,wasm-aot,16,1.782855,1,
alloc_medium_objects,native,17,0.741905,1,
alloc_medium_objects,wasm-jit,17,1.817857,1,
alloc_medium_objects,wasm-aot,17,1.741735,1,
alloc_medium_objects,native,18,0.735176,1,
alloc_medium_objects,wasm-jit,18,1.74401,1,
alloc_medium_objects,wasm-aot,18,1.805772,1,
alloc_medium_objects,native,19,0.767937,1,
alloc_medium_objects,wasm-jit,19,1.952811,1,
alloc_medium_objects,wasm-aot,19,1.794076,1,
alloc_medium_objects,native,20,0.713359,1,
alloc_medium_objects,wasm-jit,20,1.757457,1,
alloc_medium_objects,wasm-aot,20,1.795837,1,
alloc_medium_objects,native,21,0.763351,1,
alloc_medium_objects,wasm-jit,21,1.823137,1,
alloc_medium_objects,wasm-aot,21,1.751009,1,
alloc_medium_objects,native,22,0.714167,1,
alloc_medium_objects,wasm-jit,22,1.976331,1,
alloc_medium_objects,wasm-aot,22,1.756122,1,
alloc_medium_objects,native,23,0.729754,1,
alloc_medium_objects,wasm-jit,23,1.720297,1,
alloc_medium_objects,wasm-aot,23,2.151551,1,
alloc_medium_objects,native,24,0.7342,1,
alloc_medium_objects,wasm-jit,24,1.773818,1,
alloc_medium_objects,wasm-aot,24,1.593381,1,
alloc_medium_objects,native,25,0.734371,1,
alloc_medium_objects,wasm-jit,25,1.733876,1,
alloc_medium_objects,wasm-aot,25,1.67868,1,
alloc_medium_objects,native,26,0.727791,1,
alloc_medium_objects,wasm-jit,26,1.734039,1,
alloc_medium_objects,wasm-aot,26,1.744319,1,
alloc_medium_objects,native,27,0.717977,1,
alloc_medium_objects,wasm-jit,27,1.767032,1,
alloc_medium_objects,wasm-aot,27,1.753196,1,
alloc_medium_objects,native,28,0.725711,1,
alloc_medium_objects,wasm-jit,28,1.76404,1,
alloc_medium_objects,wasm-aot,28,1.713832,1,
alloc_medium_objects,native,29,0.723484,1,
alloc_medium_objects,wasm-jit,29,1.770497,1,
alloc_medium_objects,wasm-aot,29,1.75759,1,
alloc_medium_objects,native,30,0.755673,1,
alloc_medium_objects,wasm-jit,30,1.771181,1,
alloc_medium_objects,wasm-aot,30,1.793047,1,
alloc_pool_style,native,1,0.296003,1,
alloc_pool_style,wasm-jit,1,0.308369,1,
alloc_pool_style,wasm-aot,1,0.302156,1,
alloc_pool_style,native,2,0.269267,1,
alloc_pool_style,wasm-jit,2,0.305339,1,
alloc_pool_style,wasm-aot,2,0.314757,1,
