program,native_ok,wasm_ok,native_mean_ms,native_median_ms,native_std_ms,native_min_ms,native_max_ms,wasm_mean_ms,wasm_median_ms,wasm_std_ms,wasm_min_ms,wasm_max_ms,ratio_wasm_over_native,label,native_error,wasm_error
poly_gemver,1,1,5.23058,4.991564,0.850746,4.458067,9.03799,10.586983,10.331679,1.101517,9.697731,14.470251,2.069828,native-better,,
poly_gesummv,1,1,4.984843,5.025945,0.294085,4.113712,5.437846,10.85033,10.811168,0.631097,9.713363,12.466637,2.151072,native-better,,
poly_gramschmidt,1,1,18.944113,19.394356,1.540994,15.827964,21.704778,23.270792,22.949318,1.328676,21.175274,26.460535,1.183299,native-better,,
poly_heat_3d,1,1,20.900509,19.510769,7.962116,16.213934,62.06763,36.878241,36.863971,1.480245,34.29173,40.045346,1.889417,native-better,,
poly_jacobi_1d,1,1,3.95619,3.902461,0.369139,3.483059,5.136647,8.916289,8.804784,0.43877,8.257299,9.894815,2.256214,native-better,,
poly_jacobi_2d,1,1,14.929123,14.772474,1.651459,11.877414,18.195608,28.476225,28.06986,2.618511,24.758946,33.853875,1.900146,native-better,,
poly_lu,1,1,68.399869,67.652154,6.007535,62.805069,97.673494,89.677108,88.469229,4.588132,85.293771,109.567136,1.307708,native-better,,
poly_ludcmp,1,1,65.273441,64.250906,4.283918,60.737688,80.884023,91.535508,87.871636,14.721786,83.916174,165.390627,1.367633,native-better,,
poly_mvt,1,1,4.972438,4.847411,0.310022,4.44906,5.609616,10.002659,9.924211,0.537733,9.101174,11.408542,2.047322,native-better,,
poly_nussinov,1,1,20.732112,21.129985,1.31468,17.617754,22.784568,27.731735,27.79339,1.832055,24.940108,33.530595,1.315353,native-better,,
poly_seidel_2d,1,1,159.643082,159.176899,3.936602,155.684705,177.42413,165.760891,164.327557,6.471298,159.806438,192.206294,1.032358,similar,,
poly_symm,1,1,12.154967,11.790539,1.136564,10.545556,14.487075,17.653859,17.522934,1.056772,15.666913,20.363542,1.486186,native-better,,
poly_syr2k,1,1,12.421547,10.725511,7.536866,9.231372,51.736442,20.73404,20.389165,1.556906,18.223864,25.095284,1.900997,native-better,,
poly_syrk,1,1,7.015166,6.975112,0.435263,6.254476,7.962101,15.450762,15.301778,1.125592,13.856295,20.094173,2.193768,native-better,,
poly_trisolv,1,1,4.437882,4.392369,0.277771,3.987014,5.128023,9.583258,9.548426,0.504857,8.79798,10.780971,2.173867,native-better,,
poly_trmm,1,1,9.781507,9.574594,1.132479,8.333538,12.436133,15.246959,15.368549,0.810976,13.756511,16.644829,1.605139,native-better,,
