program,label,native_ok,wasm_ok,native_median_internal_ms,wasm_median_internal_ms,ratio_wasm_over_native_internal,native_median_external_ms,wasm_median_external_ms,ratio_wasm_over_native_external,native_error,wasm_error
llvmss_benchmarkgame_puzzle,native-better,1,1,75.012928,378.733576,5.048911,80.941967,392.59697,4.850351,,
llvmss_misc_flops-1,native-better,1,1,571.811166,717.606069,1.25497,582.034897,731.460227,1.256729,,
llvmss_misc_flops-2,similar,1,1,392.631811,380.675677,0.969549,400.465333,394.286509,0.984571,,
llvmss_misc_flops-3,similar,1,1,908.453109,836.887184,0.921222,916.213321,854.335793,0.932464,,
llvmss_misc_flops-4,similar,1,1,417.105218,422.205504,1.012228,425.550829,436.561057,1.025873,,
llvmss_misc_reedsolomon,similar,1,1,3257.072738,3386.830186,1.039839,3264.998587,3401.10734,1.041687,,
