model,feature_set,acc_mean,acc_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
NearestCentroid,V1(22),0.4248270248270247,0.13661385143417246,0.3013430342946803,0.11132520870589244,0.48611241772386704,0.13584301649183386
NearestCentroid,V2(18),0.5115181115181114,0.1505898887896612,0.3332399058188382,0.11581594570048583,0.5716358505902838,0.14746921089948045
GaussianNB,V1(22),0.5402767602767603,0.16919801143497853,0.33706821205098225,0.11924707475416954,0.578907467482318,0.13855341759445985
GaussianNB,V2(18),0.5556288156288157,0.16693888595655546,0.35215299609181694,0.1139635046505361,0.5896781987819317,0.1367310019352289
