timestamp,program,mode,run_index,event,value,status,stderr_note
2026-04-24T15:02:53+0800,llvmss_benchmarkgame_puzzle,native,3,r00c4,35011124,ok,
2026-04-24T15:02:53+0800,llvmss_benchmarkgame_puzzle,native,3,r01c4,34069369,ok,
2026-04-24T15:02:53+0800,llvmss_benchmarkgame_puzzle,native,3,r1c0,925981343,ok,
2026-04-24T15:02:53+0800,llvmss_benchmarkgame_puzzle,native,3,cpu-cycles,235422894,ok,
2026-04-24T15:02:53+0800,llvmss_benchmarkgame_puzzle,native,3,L1-icache-load-misses,84698,ok,
2026-04-24T15:02:53+0800,llvmss_benchmarkgame_puzzle,native,3,branch-misses,9342,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r81d0,515527291,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r82d0,10892622,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r00c4,1019242238,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r01c4,3482616,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r1c0,6165540593,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,cpu-cycles,1238450840,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,L1-icache-load-misses,608357,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,branch-misses,68660,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r81d0,514818093,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r82d0,10512789,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r00c4,1018828430,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r01c4,3399699,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r1c0,6162771047,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,cpu-cycles,1237346539,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,L1-icache-load-misses,491155,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,branch-misses,53287,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,r81d0,131541230,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,r82d0,6599608,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,r00c4,35016722,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,r01c4,34070748,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,r1c0,926013033,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,cpu-cycles,239794403,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,L1-icache-load-misses,80616,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,native,4,branch-misses,9366,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,r81d0,515554799,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,r82d0,10903253,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,r00c4,1019270968,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,r01c4,3491934,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,r1c0,6165641114,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,cpu-cycles,1239575601,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,L1-icache-load-misses,615119,ok,
2026-04-24T15:02:54+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,branch-misses,67358,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,r81d0,514932219,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,r82d0,10593148,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,r00c4,1018890301,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,r01c4,3405611,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,r1c0,6163147915,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,cpu-cycles,1238306686,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,L1-icache-load-misses,566535,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,4,branch-misses,61324,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,r81d0,131565901,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,r82d0,6616452,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,r00c4,35032372,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,r01c4,34072955,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,r1c0,926108168,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,cpu-cycles,235915260,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,L1-icache-load-misses,79541,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,native,5,branch-misses,9071,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,r81d0,515526619,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,r82d0,10890705,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,r00c4,1019239106,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,r01c4,3479298,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,r1c0,6165521063,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,cpu-cycles,1238326427,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,L1-icache-load-misses,610271,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-jit,5,branch-misses,68383,ok,
2026-04-24T15:02:55+0800,llvmss_benchmarkgame_puzzle,wasm-aot,5,r81d0,514901902,ok,
