program,all_loads_retired__wasm_jit_over_native,all_loads_retired__wasm_aot_over_native,all_stores_retired__wasm_jit_over_native,all_stores_retired__wasm_aot_over_native,branches_retired__wasm_jit_over_native,branches_retired__wasm_aot_over_native,conditional_branches__wasm_jit_over_native,conditional_branches__wasm_aot_over_native,instructions_retired__wasm_jit_over_native,instructions_retired__wasm_aot_over_native,cpu_cycles__wasm_jit_over_native,cpu_cycles__wasm_aot_over_native,l1_i_cache_load_misses__wasm_jit_over_native,l1_i_cache_load_misses__wasm_aot_over_native,branch_misses__wasm_jit_over_native,branch_misses__wasm_aot_over_native
llvmss_benchmarkgame_puzzle,3.918588753050741,3.9137345665088676,1.6473289976714582,1.5981309358190872,29.09811453630399,29.087023138437335,0.10221367637712676,0.0997800886935687,6.657700884699769,6.654923256834606,5.243268324671878,5.239119325183454,7.57009774734544,6.885134464622407,7.2646678170836925,6.226596203623814
llvmss_misc_evalloop,1.7462164608018131,1.7455721585243527,1.50565591042678,1.5049765322690305,1.2473714575681747,1.246975674727003,31.62742284054839,31.338315492672386,3.201327385129201,3.200188635354171,1.1668924877620586,1.1672613803977654,5.19249727513787,4.599884498381351,1.5120798931411308,1.4274354767859865
llvmss_misc_flops,11.575687604293616,11.574059738168817,789.2401815183563,789.1704608413193,2.1192789894952293,2.119023824630604,0.0012474382592707845,0.0011960072391912911,1.190787266356563,1.1907108451872486,1.2595899809139492,1.259500758953878,2.264639820478543,2.2069501998969754,3.864838665004847,3.3596916401237134
llvmss_misc_flops-1,3.9343317125877904,3.586653700702323,3.879488857728847,3.5918005123385712,1.010150125197798,1.0092171580163671,1.0024645385653586,1.002255377977648,0.8977043735370513,0.8973761978245873,1.2210788680034903,1.2199444439813563,4.444709269239782,4.102118970307636,5.9883395100786405,5.406490102142276
llvmss_misc_flops-2,4.816397748555901,4.296095638097997,4.75516928150706,4.327537640092039,4.803077872000424,4.799742393385315,1.60679810783085,1.6061095755571575,2.170076712006744,2.168619501820568,0.9835515077888268,0.9819900783300124,5.249559705619602,4.785349044965329,6.581295538476894,5.807465814951592
llvmss_misc_flops-3,2.8720049765117226,2.582710313241881,2.8256696432116195,2.5841264346094417,1.009483506982123,1.00828915569458,1.002346068246234,1.0020929804798806,0.91148983446268,0.9111473749382152,0.9152917498672956,0.9144725034133748,3.688478537718181,3.2906959322795717,5.791032428855063,4.8207313037723365
llvmss_misc_flops-4,294.4656282360102,293.98778527923866,4.445385192372947,4.047960781278835,1.0189800715684254,1.0169400906400747,1.0046771094378821,1.0042353163967952,0.9572592734780406,0.9566361892942807,0.9563999459245629,0.9549764808891207,5.693083907587575,5.017909312657089,6.8339186118570545,5.74426771328238
llvmss_misc_flops-5,2.503208938876535,2.5015713927186884,3.0107891011260426,2.7802400191666847,1.0188719692837345,1.0168560139281648,1.0046804773735045,1.0042422955326995,1.002727584172776,1.0023761400466389,0.9630303928203388,0.9622173446801914,4.21345844573563,3.8902910354845406,6.164847261719109,5.318044216126961
llvmss_misc_flops-6,2.5040131260172536,2.502367033672325,3.1960572659554174,2.940145258622695,1.0192226852618094,1.017204696710171,1.0047522829119422,1.0043067791578613,1.0027909009467884,1.0024281735380212,1.0021860366179107,1.0014125592773242,4.4961992982263395,4.018615542020586,6.682136171051335,5.675830131047394
llvmss_misc_flops-7,255.01488857659103,254.59635414575388,4.003483639245228,3.654724782208226,1.019135116802351,1.0171062364155543,1.004729253756442,1.0042779313240457,0.7671297191495284,0.7664977924102097,0.9911353327177946,0.9899503813220427,5.202877974226848,4.627675655812322,6.955088886578646,5.9033163530512525
llvmss_misc_flops-8,3.497935877821615,3.4965005383700234,422.56815194055685,422.37008439849404,2.011121910681248,2.0093493847775177,0.006117546309462564,0.005730019907397052,1.2129549042960048,1.2126521752969608,1.0092140965112388,1.0121022031105522,4.15510430383256,3.7487446367479635,6.280406654343808,5.397134935304991
llvmss_misc_mandel-2,254.70544955050295,254.45512244919775,256.29391729654037,256.1022207335725,2.0038030881810838,2.003177315426533,1.005420707572766,1.0050106752847763,1.2771525761815177,1.2765988594587983,1.0357059061979408,1.0354564718435715,4.415668990502676,4.132758433738782,4.6949076449461264,4.065161621344279
llvmss_misc_matmul_f64_4x4,2.5776704344188595,2.5773515521100707,2.5359341727348164,2.535582618226318,1.3560802792737696,1.353915245062571,1.0170398624231198,1.0156112509332835,1.9949593888967454,1.9946519923256334,2.211598214252162,2.216063207516068,5.453293155402497,5.205090798934966,6.2263035298333635,5.698172370542913
llvmss_misc_reedsolomon,1.2980206274201955,1.2978970876912095,0.9929291211319667,0.9927826039623543,0.7336723954344821,0.7336064826911453,5.164448419976263,5.164220651602664,1.0539147426973696,1.053853534547159,0.9382561059324741,0.937943214080381,1.8926492145925087,1.7754347247304723,1.0053403789684616,1.0078206491125534
llvmss_misc_richards_benchmark,1.6130227947634845,1.612547576886602,1.4477134130620006,1.4473533375055574,1.4546415805503452,1.4542439095493123,0.8813017975770591,0.880956819334692,2.112449178118661,2.111804343405941,1.828303980948204,1.825267400544483,5.473933078578081,5.138852316881282,1.0350014159784398,1.0328145385163066
llvmss_misc_salsa20,2.2199579674480914,2.2198493530622176,1.8525674811274908,1.8525146016399276,1.8886050896564581,1.8883715369333427,0.08547523680498789,0.08540688716230035,1.4067931225174397,1.40674697012057,1.2218505009038092,1.2217569838007354,2.0756443587116498,2.0713508588668366,25.273575757575756,26.358727272727272
llvmss_shootout_hello,20.553083711676784,18.002193541804825,20.956591394568203,18.712677584511578,20.539142458389332,18.56774656259692,21.48841004647046,19.640656118610313,20.855178971996132,18.416689543623264,20.07186857608783,18.03247011265891,12.798034802391152,11.537476705631791,11.043297853148115,9.525166877142341
llvmss_stanford_bubblesort,1.3010916430346147,1.261722637027732,1.1809838740992142,1.1609662862768,1.096388297184978,1.086238838545108,3.0285949652002744,3.017551866576779,1.3433755973803445,1.3236470365752615,1.8248362673874396,1.7787017948173625,10.419813746214935,9.409720238435316,1.2904034198255339,1.2765459887331088
llvmss_stanford_floatmm,1.056386161204351,1.0556046349537187,1.4321659148855448,1.4215555173874466,3.697213368597876,3.695558198805908,0.053797305009978626,0.05343394262622507,2.168218488324195,2.167199193156096,1.7924740804981647,1.7899557709128733,6.947894352905759,6.304088556441995,13.909293619557017,13.894048540127862
llvmss_stanford_intmm,5.2955893571485815,4.818943689773803,14.434285909346928,13.069642542200274,12.644426014160395,11.822936612192189,3.69545581655481,3.4072846756152124,5.369469780401395,4.964440241329108,10.421842999823856,9.158807894439347,11.516990238493815,10.44320281757506,11.563269544577956,10.32502596053998
llvmss_stanford_oscar,3.5937027285612597,3.377963353623696,3.955170719961474,3.7043477004575007,6.178789217449915,5.691391478463895,3.6685014213607294,3.494460010513476,4.229114194247998,3.9605037819045923,8.107963321406926,7.449403093045535,11.830905821532928,10.786266576758822,8.628788872851333,7.893321086471592
llvmss_stanford_perm,2.7968971570709447,2.7795774607945196,2.065084411955194,2.0561413659381302,1.4199282521525183,1.4027867374235838,1.2260627069985282,1.2073779300544298,2.237464114963631,2.2166599553689426,2.840334993763614,2.802118322736596,10.425747135261714,9.602257241021901,2.496910605974718,2.269174083101865
llvmss_stanford_puzzle,1.3106838993822036,1.303516153319437,2.62032288320285,2.568404098690264,1.151228336234335,1.1489897823136148,1.9568030334744344,1.95585953880788,1.754556121319849,1.7496559989228075,1.585978688774787,1.5767863814594143,8.14701922940668,7.261106151426263,1.0439749342637852,1.0422630215969104
llvmss_stanford_queens,3.4847651671373456,3.4518443140688593,2.592640745924979,2.575881385905379,1.6456804124599287,1.628388117823951,0.5932809454169268,0.5849630267748155,2.466354414196449,2.4401763417674536,3.653414413095427,3.562383982094703,10.569051580698835,9.524087305471273,7.124532864365794,6.1493734886788305
llvmss_stanford_quicksort,1.5242049434509721,1.47345522567475,1.5449405788232966,1.4925693089956176,1.3363398902256873,1.3185210011655295,1.1705700335403608,1.159574295166453,1.1954225531178297,1.1732023521106918,1.2573726319458682,1.2318278707788852,9.209457959880496,8.167750746905677,0.9987076645889499,0.9882043757907357
llvmss_stanford_realmm,3.5971990368487203,3.242295488372124,13.901101892380392,12.366036236144684,8.377461899502023,7.762868665666066,2.025024127771511,1.8493510329741967,5.273237526705551,4.826419967944031,8.294122404214667,7.701102276255824,11.451695470987667,10.066168849025871,10.290653008962868,8.922407170294495
llvmss_stanford_towers,1.5749297572371077,1.557352522253544,1.3276415054996114,1.3185838045764056,1.4161318938624308,1.3972346269694935,3.6509189949595164,3.5736342042755345,1.8672207050412737,1.8468216847464562,2.275731893290998,2.207928661354002,10.286365276169137,9.295137372548275,3.3606168129552065,3.089987460982312
llvmss_stanford_treesort,1.0207013298655643,1.0061802293491078,1.1944567387070535,1.174436133544499,0.7857333330027577,0.7782707336610435,1.1387765641246437,1.133220894746214,0.9343329335957857,0.9214053913591166,0.9496450782292591,0.9314376141126106,2.9698287377060635,2.804517674909889,0.9478802994138795,0.938875404898673
