timestamp,program,mode,run_index,event,value,status,stderr_note,runtime_engine,compiler
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,r81d0,131574091,ok,,wasmer,cranelift
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,r82d0,6621174,ok,,wasmer,cranelift
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,r00c4,35038335,ok,,wasmer,cranelift
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,r01c4,34074431,ok,,wasmer,cranelift
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,r1c0,926143607,ok,,wasmer,cranelift
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,cpu-cycles,240178417,ok,,wasmer,cranelift
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,L1-icache-load-misses,85149,ok,,wasmer,cranelift
2026-05-13T15:58:02+0800,llvmss_benchmarkgame_puzzle,native,3,branch-misses,9613,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r81d0,1027227375,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r82d0,15210553,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r00c4,1024135974,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r01c4,4568782,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,r1c0,6696339601,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,cpu-cycles,1352902977,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,L1-icache-load-misses,1040754,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,3,branch-misses,153517,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r81d0,1025525627,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r82d0,14073717,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r00c4,1023062875,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r01c4,4362089,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,r1c0,6690437107,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,cpu-cycles,1350791176,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,L1-icache-load-misses,993995,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-aot,3,branch-misses,136196,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,r81d0,131553316,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,r82d0,6610827,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,r00c4,35022248,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,r01c4,34071350,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,r1c0,926059242,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,cpu-cycles,236265288,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,L1-icache-load-misses,78715,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,native,4,branch-misses,8589,ok,,wasmer,cranelift
2026-05-13T15:58:03+0800,llvmss_benchmarkgame_puzzle,wasm-jit,4,r81d0,1027109604,ok,,wasmer,cranelift
