model,r2_in_sample_std_y,r2_in_sample_original_y,lasso_internal_cv_mse_mean,lasso_internal_cv_mse_std,n_nonzero_coef
lasso_cv_std_y,0.5534850562641283,0.5534850562641283,32.23962552256732,34.552574664993884,15
ols_full_stdX,,0.996989533916707,,,25
rlm_huber_stdX,,0.9956639413356279,,,25
