static_feature,perf_ratio,n,spearman_rho,p_value,abs_rho,fdr_q,fdr_sig_0.05,fdr_sig_0.10
branch_instr_count,ratio_branch_misses_over_native,52,-0.37041151610717427,0.006871017843507088,0.37041151610717427,0.025727911251932304,True,True
load_count,ratio_all_loads_retired_over_native,52,-0.36985152044047376,0.0069625832874639195,0.36985152044047376,0.025727911251932304,True,True
basic_block_count,ratio_branch_misses_over_native,52,-0.36967733549223547,0.006991280231503343,0.36967733549223547,0.025727911251932304,True,True
basic_block_count,ratio_instructions_retired_over_native,52,0.36708976664837945,0.007429869658656398,0.36708976664837945,0.02674735149699472,True,True
loop_count,ratio_all_loads_retired_over_native,52,-0.3663530665526933,0.007559034118715898,0.3663530665526933,0.02674735149699472,True,True
cfg_edge_count,ratio_branch_misses_over_native,52,-0.3636257244808655,0.008054352810799754,0.3636257244808655,0.02744751379650508,True,True
memory_access_density,ratio_conditional_branches_over_native,52,-0.3636209254805378,0.008055248614191709,0.3636209254805378,0.02744751379650508,True,True
avg_bb_size,ratio_cpu_cycles_over_native,52,-0.359458475946007,0.008865549088990548,0.359458475946007,0.02948921223607787,True,True
hostcall_density,ratio_all_loads_retired_over_native,52,0.35892187686648014,0.008974977637067179,0.35892187686648014,0.02948921223607787,True,True
compute_instr_count,ratio_all_stores_retired_over_native,52,-0.3575062934997197,0.009269285987845741,0.3575062934997197,0.029921905644975728,True,True
cfg_edge_count,ratio_instructions_retired_over_native,52,0.35625434680834617,0.009536493535017544,0.35625434680834617,0.03025370362833152,True,True
call_to_bb_ratio,ratio_instructions_retired_over_native,52,-0.3503781521136479,0.010881518480036847,0.3503781521136479,0.0339355830563861,True,True
hostcall_density,ratio_branches_retired_over_native,52,-0.3492674678957798,0.01115332179845437,0.3492674678957798,0.03420352018192673,True,True
loop_count,ratio_all_stores_retired_over_native,52,-0.34593737515125084,0.012003573133070435,0.34593737515125084,0.03600197713041498,True,True
compute_instr_count,ratio_all_loads_retired_over_native,52,-0.34545551956152687,0.012131100989596352,0.34545551956152687,0.03600197713041498,True,True
avg_bb_size,ratio_instructions_retired_over_native,52,-0.3444240910205085,0.012407996377432284,0.3444240910205085,0.036208985197614674,True,True
avg_bb_size,ratio_all_loads_retired_over_native,52,0.3437407098875314,0.01259442963395293,0.3437407098875314,0.036208985197614674,True,True
call_instr_count,ratio_conditional_branches_over_native,52,-0.3422394718948495,0.01301244104938052,0.3422394718948495,0.03681609653115855,True,True
basic_block_count,ratio_cpu_cycles_over_native,52,0.34155908738899965,0.013205773755741652,0.34155908738899965,0.03681609653115855,True,True
max_loop_depth,ratio_branches_retired_over_native,52,0.34034270219232826,0.013557551035486858,0.34034270219232826,0.03723267747059077,True,True
hostcall_density,ratio_cpu_cycles_over_native,52,-0.3372208159942863,0.014497337029694057,0.3372208159942863,0.0392280884332898,True,True
branch_instr_count,ratio_instructions_retired_over_native,52,0.3344281876463884,0.01538465241363262,0.3344281876463884,0.041025739769686986,True,True
load_store_ratio,ratio_L1_icache_load_misses_over_native,52,-0.3324929568321433,0.016026376688799925,0.3324929568321433,0.042126475867702656,True,True
max_loop_depth,ratio_L1_icache_load_misses_over_native,52,0.3290356356743106,0.017229675551835324,0.3290356356743106,0.0446515535427845,True,True
memory_access_density,ratio_branch_misses_over_native,52,-0.3259430993205479,0.01837028145204203,0.3259430993205479,0.04694627482188519,True,True
max_loop_depth,ratio_cpu_cycles_over_native,52,0.3235705535239355,0.019288202566056442,0.3235705535239355,0.04861683934458062,True,True
avg_bb_size,ratio_branch_misses_over_native,52,0.31913898910035216,0.021107007978880998,0.31913898910035216,0.05248229010965005,False,True
hostcall_density,ratio_all_stores_retired_over_native,52,0.31620325310231917,0.02239000051060297,0.31620325310231917,0.05493013458601262,False,True
load_store_ratio,ratio_conditional_branches_over_native,52,-0.31394037991453594,0.02342324292488879,0.31394037991453594,0.055649748172802896,False,True
compute_density,ratio_branch_misses_over_native,52,0.3138427853197788,0.023468692958057237,0.3138427853197788,0.055649748172802896,False,True
hostcall_count,ratio_cpu_cycles_over_native,52,-0.3135816825327015,0.02359065411673166,0.3135816825327015,0.055649748172802896,False,True
call_to_bb_ratio,ratio_cpu_cycles_over_native,52,-0.30962458504263846,0.025505270892150683,0.30962458504263846,0.05940468157159146,False,True
basic_block_count,ratio_L1_icache_load_misses_over_native,52,0.3089557199564133,0.02584143481770404,0.3089557199564133,0.059435300080719296,False,True
alloc_call_count,ratio_branch_misses_over_native,52,-0.3072090986863366,0.02673682253120094,0.3072090986863366,0.06073549809556757,False,True
cfg_edge_count,ratio_cpu_cycles_over_native,52,0.3065625890865393,0.027074769358907964,0.3065625890865393,0.06075314100047641,False,True
compute_density,ratio_cpu_cycles_over_native,52,0.30393375889160945,0.02848596727352728,0.30393375889160945,0.06314961419673518,False,True
