column,n,spearman_rho,p_value,abs_rho
ratio_cpu_cycles_over_native,52,0.9340903269871083,5.180008801012644e-24,0.9340903269871083
ratio_instructions_retired_over_native,52,0.8028686075300947,8.112271297444696e-13,0.8028686075300947
ratio_L1_icache_load_misses_over_native,52,0.755570733373175,9.554831222249825e-11,0.755570733373175
ratio_branches_retired_over_native,52,0.6615726116281055,9.314686602718401e-08,0.6615726116281055
ratio_branch_misses_over_native,52,0.2958251515410228,0.03323105301091276,0.2958251515410228
ratio_conditional_branches_over_native,52,0.19585076410825578,0.16407810237067028,0.19585076410825578
ratio_all_stores_retired_over_native,52,-0.09562025100315888,0.50011212714299,0.09562025100315888
ratio_all_loads_retired_over_native,52,0.08921710919491163,0.5293682765103596,0.08921710919491163
