feature,coef,p_value
const,2.066335576923077,8.466840449303178e-25
ir_instruction_count,-38.24987251168157,0.0029002582981275523
basic_block_count,-66.90602200830432,0.15347594376267623
avg_bb_size,2.9408956539032856,0.14119118935457414
cfg_edge_count,39.821337099544245,0.01989953287964914
avg_bb_out_degree,3.883975718449377,0.044564282261391086
loop_count,-0.53992763843342,0.7080308684834093
max_loop_depth,-0.5737555817485037,0.3480010486426396
branch_instr_count,31.54342655708004,0.4149674630878919
branch_density,-2.1757243184314534,0.19226927094402707
compute_instr_count,22.633570474689584,0.002895069805106526
compute_density,-1.5218212930357153,0.33933893757147593
load_count,1.6049234559831378,0.601161571214446
store_count,2.597224677554638,0.5336808717952031
memory_instr_count,2.286666221591642,0.14143118770313765
memory_access_density,-1.857119838369152,0.10661762567496322
compute_to_memory_ratio,-2.7826458355074806,0.055133443665613915
load_store_ratio,2.161710583927615,0.025541620922541884
call_instr_count,1.6179067850836104,2.3257111837689735e-05
call_to_bb_ratio,-1.9812455297771971,0.014005508412600624
hostcall_count,-1.0110990148775683,0.39360446774396307
hostcall_density,1.8130627714231689,0.3710877221644985
alloc_call_count,-0.9973543422618301,0.2980536716476513
function_count,13.921008024221202,0.06603095001050642
opt_loop_ok,0.0,
