column,n,spearman_rho,p_value,abs_rho
ratio_cpu_cycles_over_native,52,0.944249978656194,8.8943774872637e-26,0.944249978656194
ratio_instructions_retired_over_native,52,0.8079057457525824,4.5272778970108103e-13,0.8079057457525824
ratio_L1_icache_load_misses_over_native,52,0.6714761376248612,5.073121940298506e-08,0.6714761376248612
ratio_conditional_branches_over_native,52,0.46999060872534787,0.0004389483740329573,0.46999060872534787
ratio_branches_retired_over_native,52,0.46298984034833085,0.0005478810436261994,0.46298984034833085
ratio_branch_misses_over_native,52,0.30897293605395715,0.025832735861923035,0.30897293605395715
ratio_all_stores_retired_over_native,52,-0.2447707675232647,0.08031321018301098,0.2447707675232647
ratio_all_loads_retired_over_native,52,-0.1067190301374541,0.45144459084095945,0.1067190301374541
