static_feature,perf_ratio,wasmtime_spearman_rho,wasmtime_p_value,wasmtime_fdr_q,wasmtime_fdr_sig_0.10,wasmer_spearman_rho,wasmer_p_value,wasmer_fdr_q,wasmer_fdr_sig_0.10,max_abs_rho
basic_block_count,ratio_all_stores_retired_over_native,-0.5818579806884322,6.0630801352817774e-06,0.0006073899487602,True,-0.6439596329409776,2.600638771992156e-07,3.167569761693924e-05,True,0.6439596329409776
branch_instr_count,ratio_all_stores_retired_over_native,-0.579981889335414,6.6020646604379245e-06,0.0006073899487602,True,-0.6353008376678994,4.207454727384221e-07,3.167569761693924e-05,True,0.6353008376678994
cfg_edge_count,ratio_all_stores_retired_over_native,-0.567249192422929,1.160799040243324e-05,0.0007119567446825,True,-0.6266538242544083,6.703842366842615e-07,3.167569761693924e-05,True,0.6266538242544083
avg_bb_size,ratio_L1_icache_load_misses_over_native,-0.4752915779856422,0.0003699450301817,0.0042476771796591,True,-0.626147963090359,6.886021221073748e-07,3.167569761693924e-05,True,0.626147963090359
function_count,ratio_all_stores_retired_over_native,-0.5276456147233948,5.830252481976811e-05,0.0010991292021428,True,-0.603323870221571,2.2008808814938308e-06,8.099241643897297e-05,True,0.603323870221571
function_count,ratio_L1_icache_load_misses_over_native,0.4437338453168522,0.0009843882757442,0.0069664401052672,True,0.597630482944509,2.900251964515384e-06,8.186893408381293e-05,True,0.597630482944509
function_count,ratio_cpu_cycles_over_native,0.5201128254029744,7.750455256624245e-05,0.001188403139349,True,0.5961414431951236,3.1145790140581006e-06,8.186893408381293e-05,True,0.5961414431951236
branch_density,ratio_all_stores_retired_over_native,-0.5535387177115316,2.077472728199552e-05,0.0009359662943885,True,-0.5820698800133296,6.0048386246032365e-06,0.0001381112883658,True,0.5820698800133296
call_to_bb_ratio,ratio_L1_icache_load_misses_over_native,-0.3757530146295595,0.0060490158225562,0.0241960632902248,True,-0.5719169349545864,9.464512980616362e-06,0.0001934967098259,True,0.5719169349545864
loop_count,ratio_L1_icache_load_misses_over_native,0.4277738913221394,0.0015599829781495,0.0092592538057906,True,0.5647762119182023,1.291768865792221e-05,0.0002376854713057,True,0.5647762119182023
store_count,ratio_all_stores_retired_over_native,-0.4939664635681217,0.0001979979567985,0.0028024326193022,True,-0.5586895326939239,1.674487047365908e-05,0.0002569213354263,True,0.5586895326939239
memory_access_density,ratio_instructions_retired_over_native,-0.5292837484379539,5.475333898963504e-05,0.0010991292021428,True,-0.5586741615876966,1.6755739266935433e-05,0.0002569213354263,True,0.5586741615876966
