feature,coef_point_std_y,coef_point_time_ratio_y,ci_low_std_y,ci_high_std_y,ci_low_time_ratio_y,ci_high_time_ratio_y,ci_excludes_zero_time_ratio
compute_instr_count,0.9587228769488799,1.5335597561474394,0.0,2.095094057107803,0.0,3.351283262948058,False
function_count,0.4889510179735315,0.7821192358295141,0.0,0.9067658232879569,0.0,1.4504499770254866,False
branch_instr_count,-0.45815858088098105,-0.7328640824851812,-1.007646556052198,0.0,-1.611817391590847,0.0,False
hostcall_density,0.4561305525040836,0.7296200765498762,0.0,0.8763097265016759,0.0,1.401732828948856,False
load_count,-0.4299998765502224,-0.687821811370993,-1.3925908654502468,0.0,-2.227568945501345,0.0,False
avg_bb_out_degree,-0.17791749402825205,-0.284594344535369,-0.7011054847488143,0.05730629736582154,-1.121478564949644,0.09166635482166337,False
memory_access_density,-0.1309941045054341,-0.20953634443503244,-0.36292932860145516,0.13728517137755128,-0.5805366973614823,0.21959944735066847,False
compute_density,-0.11026333933248675,-0.17637570130471297,-0.5344754052370472,0.3337799512404029,-0.8549394114080732,0.5339097594710155,False
hostcall_count,-0.07282804194754065,-0.1164947211911802,-0.5119972866731851,0.2865064232173792,-0.8189837261394013,0.45829168270420545,False
compute_to_memory_ratio,-0.0677169307975915,-0.10831905900848211,-0.32118952560641406,0.7738175333410489,-0.5137702900484225,1.2377877447858041,False
max_loop_depth,0.0,0.0,-0.22123041114930278,0.23195842044462214,-0.35387708328630274,0.37103745748247896,False
loop_count,0.0,0.0,-0.3138451695283422,0.43771482928930455,-0.5020223603943474,0.7001625422805221,False
basic_block_count,-0.0,-0.0,-0.0,0.0,-0.0,0.0,False
ir_instruction_count,0.0,0.0,0.0,0.0,0.0,0.0,False
avg_bb_size,-0.0,-0.0,-0.5910657018438229,0.15807336995171495,-0.9454604613915563,0.2528519601493579,False
cfg_edge_count,-0.0,-0.0,-0.0,0.0,-0.0,0.0,False
store_count,-0.0,-0.0,-0.43812015004887367,0.0,-0.7008108877202226,0.0,False
memory_instr_count,-0.0,-0.0,-0.5815655913578147,0.0,-0.9302642170225244,0.0,False
branch_density,-0.0,-0.0,-0.3822460034991359,0.0,-0.6114353813899079,0.0,False
load_store_ratio,0.0,0.0,-0.6122511832639778,0.38856590676539693,-0.9793484622953785,0.6215446105998409,False
call_to_bb_ratio,0.0,0.0,-0.5148225907401802,0.42591837334089466,-0.8235030431601992,0.6812930957046561,False
call_instr_count,-0.0,-0.0,-0.6358401555083452,0.562978644729701,-1.0170810536339387,0.9005327961668443,False
alloc_call_count,0.0,0.0,-0.32951633038057154,0.7646294708715089,-0.5270897309483659,1.2230906480761712,False
opt_loop_ok,0.0,0.0,0.0,0.0,0.0,0.0,False
