program,mode,event,event_alias,repeat_count,median_value
llvmss_misc_flops-1,native,r1c0,instructions_retired,5,5942948069.0
llvmss_misc_flops-1,native,r81d0,all_loads_retired,5,1352072.0
llvmss_misc_flops-1,native,r82d0,all_stores_retired,5,852422.0
llvmss_misc_flops-1,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1021335.0
llvmss_misc_flops-1,wasm-aot,branch-misses,branch_misses,5,131156.0
llvmss_misc_flops-1,wasm-aot,cpu-cycles,cpu_cycles,5,2729857752.0
llvmss_misc_flops-1,wasm-aot,r00c4,branches_retired,5,320572477.0
llvmss_misc_flops-1,wasm-aot,r01c4,conditional_branches,5,314350308.0
llvmss_misc_flops-1,wasm-aot,r1c0,instructions_retired,5,5355571767.0
llvmss_misc_flops-1,wasm-aot,r81d0,all_loads_retired,5,10588074.0
llvmss_misc_flops-1,wasm-aot,r82d0,all_stores_retired,5,6601249.0
llvmss_misc_flops-1,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1101762.0
llvmss_misc_flops-1,wasm-jit,branch-misses,branch_misses,5,149812.0
llvmss_misc_flops-1,wasm-jit,cpu-cycles,cpu_cycles,5,2756577317.0
llvmss_misc_flops-1,wasm-jit,r00c4,branches_retired,5,321314937.0
llvmss_misc_flops-1,wasm-jit,r01c4,conditional_branches,5,314493326.0
llvmss_misc_flops-1,wasm-jit,r1c0,instructions_retired,5,5359753002.0
llvmss_misc_flops-1,wasm-jit,r81d0,all_loads_retired,5,11797958.0
llvmss_misc_flops-1,wasm-jit,r82d0,all_stores_retired,5,7435164.0
llvmss_misc_flops-2,native,L1-icache-load-misses,L1_icache_load_misses,5,107084.0
llvmss_misc_flops-2,native,branch-misses,branch_misses,5,9374.0
llvmss_misc_flops-2,native,cpu-cycles,cpu_cycles,5,1437195539.0
llvmss_misc_flops-2,native,r00c4,branches_retired,5,98336551.0
llvmss_misc_flops-2,native,r01c4,conditional_branches,5,97785426.0
llvmss_misc_flops-2,native,r1c0,instructions_retired,5,1449209809.0
llvmss_misc_flops-2,native,r81d0,all_loads_retired,5,964085.0
llvmss_misc_flops-2,native,r82d0,all_stores_retired,5,604390.0
llvmss_misc_flops-2,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,976094.0
llvmss_misc_flops-2,wasm-aot,branch-misses,branch_misses,5,128298.0
llvmss_misc_flops-2,wasm-aot,cpu-cycles,cpu_cycles,5,1503528299.0
llvmss_misc_flops-2,wasm-aot,r00c4,branches_retired,5,476389211.0
llvmss_misc_flops-2,wasm-aot,r01c4,conditional_branches,5,158024046.0
llvmss_misc_flops-2,wasm-aot,r1c0,instructions_retired,5,3165598529.0
llvmss_misc_flops-2,wasm-aot,r81d0,all_loads_retired,5,9980755.0
llvmss_misc_flops-2,wasm-aot,r82d0,all_stores_retired,5,6230426.0
llvmss_misc_flops-2,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1057587.0
llvmss_misc_flops-2,wasm-jit,branch-misses,branch_misses,5,148626.0
llvmss_misc_flops-2,wasm-jit,cpu-cycles,cpu_cycles,5,1506909278.0
llvmss_misc_flops-2,wasm-jit,r00c4,branches_retired,5,477127455.0
llvmss_misc_flops-2,wasm-jit,r01c4,conditional_branches,5,158169953.0
llvmss_misc_flops-2,wasm-jit,r1c0,instructions_retired,5,3169644102.0
llvmss_misc_flops-2,wasm-jit,r81d0,all_loads_retired,5,11146345.0
llvmss_misc_flops-2,wasm-jit,r82d0,all_stores_retired,5,7011754.0
llvmss_misc_flops-3,native,L1-icache-load-misses,L1_icache_load_misses,5,195450.0
llvmss_misc_flops-3,native,branch-misses,branch_misses,5,12542.0
llvmss_misc_flops-3,native,cpu-cycles,cpu_cycles,5,3366175070.0
llvmss_misc_flops-3,native,r00c4,branches_retired,5,313849901.0
llvmss_misc_flops-3,native,r01c4,conditional_branches,5,312748459.0
llvmss_misc_flops-3,native,r1c0,instructions_retired,5,6882788745.0
llvmss_misc_flops-3,native,r81d0,all_loads_retired,5,1934249.0
llvmss_misc_flops-3,native,r82d0,all_stores_retired,5,1222533.0
llvmss_misc_flops-3,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1046004.0
llvmss_misc_flops-3,wasm-aot,branch-misses,branch_misses,5,133867.0
llvmss_misc_flops-3,wasm-aot,cpu-cycles,cpu_cycles,5,3298003133.0
llvmss_misc_flops-3,wasm-aot,r00c4,branches_retired,5,320759452.0
llvmss_misc_flops-3,wasm-aot,r01c4,conditional_branches,5,314383058.0
llvmss_misc_flops-3,wasm-aot,r1c0,instructions_retired,5,6294225565.0
llvmss_misc_flops-3,wasm-aot,r81d0,all_loads_retired,5,10890202.0
llvmss_misc_flops-3,wasm-aot,r82d0,all_stores_retired,5,6804515.0
llvmss_misc_flops-3,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1129110.0
llvmss_misc_flops-3,wasm-jit,branch-misses,branch_misses,5,152541.0
llvmss_misc_flops-3,wasm-jit,cpu-cycles,cpu_cycles,5,3325142023.0
llvmss_misc_flops-3,wasm-jit,r00c4,branches_retired,5,321523717.0
llvmss_misc_flops-3,wasm-jit,r01c4,conditional_branches,5,314532820.0
llvmss_misc_flops-3,wasm-jit,r1c0,instructions_retired,5,6298422868.0
llvmss_misc_flops-3,wasm-jit,r81d0,all_loads_retired,5,12084540.0
llvmss_misc_flops-3,wasm-jit,r82d0,all_stores_retired,5,7611087.0
llvmss_misc_flops-4,native,L1-icache-load-misses,L1_icache_load_misses,5,118076.0
llvmss_misc_flops-4,native,branch-misses,branch_misses,5,9627.0
llvmss_misc_flops-4,native,cpu-cycles,cpu_cycles,5,1549031509.0
llvmss_misc_flops-4,native,r00c4,branches_retired,5,156991979.0
llvmss_misc_flops-4,native,r01c4,conditional_branches,5,156389401.0
llvmss_misc_flops-4,native,r1c0,instructions_retired,5,3285509173.0
llvmss_misc_flops-4,native,r81d0,all_loads_retired,5,1053826.0
llvmss_misc_flops-4,native,r82d0,all_stores_retired,5,662236.0
llvmss_misc_flops-4,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,967699.0
llvmss_misc_flops-4,wasm-aot,branch-misses,branch_misses,5,129935.0
llvmss_misc_flops-4,wasm-aot,cpu-cycles,cpu_cycles,5,1563263940.0
llvmss_misc_flops-4,wasm-aot,r00c4,branches_retired,5,163911333.0
llvmss_misc_flops-4,wasm-aot,r01c4,conditional_branches,5,158027338.0
llvmss_misc_flops-4,wasm-aot,r1c0,instructions_retired,5,3165698416.0
llvmss_misc_flops-4,wasm-aot,r81d0,all_loads_retired,5,322505431.0
llvmss_misc_flops-4,wasm-aot,r82d0,all_stores_retired,5,6228581.0
llvmss_misc_flops-4,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1037314.0
llvmss_misc_flops-4,wasm-jit,branch-misses,branch_misses,5,146400.0
llvmss_misc_flops-4,wasm-jit,cpu-cycles,cpu_cycles,5,1565020255.0
llvmss_misc_flops-4,wasm-jit,r00c4,branches_retired,5,164626566.0
llvmss_misc_flops-4,wasm-jit,r01c4,conditional_branches,5,158160636.0
llvmss_misc_flops-4,wasm-jit,r1c0,instructions_retired,5,3169703423.0
llvmss_misc_flops-4,wasm-jit,r81d0,all_loads_retired,5,323654558.0
llvmss_misc_flops-4,wasm-jit,r82d0,all_stores_retired,5,7022664.0
llvmss_misc_flops-5,native,L1-icache-load-misses,L1_icache_load_misses,5,163502.0
llvmss_misc_flops-5,native,branch-misses,branch_misses,5,11280.0
llvmss_misc_flops-5,native,cpu-cycles,cpu_cycles,5,2912348745.0
